chapter_id,book_id,book_title,chapter_title,level,paragraphs,subcategory
CH_B2EB248E3_001,BOOK_B2EB248E3,中寒論辯證廣注,凡例,2,7,傷寒
CH_B2EB248E3_002,BOOK_B2EB248E3,中寒論辯證廣注,辯中寒為真寒論,2,2,傷寒
CH_B2EB248E3_003,BOOK_B2EB248E3,中寒論辯證廣注,辯太陽陽明病中寒脈證並治法,3,5,傷寒
CH_B2EB248E3_004,BOOK_B2EB248E3,中寒論辯證廣注,桂枝加附子湯方,4,9,傷寒
CH_B2EB248E3_005,BOOK_B2EB248E3,中寒論辯證廣注,桂枝去芍藥加附子湯方,4,10,傷寒
CH_B2EB248E3_006,BOOK_B2EB248E3,中寒論辯證廣注,甘草乾薑湯方,4,4,傷寒
CH_B2EB248E3_007,BOOK_B2EB248E3,中寒論辯證廣注,芍藥甘草湯方,4,4,傷寒
CH_B2EB248E3_008,BOOK_B2EB248E3,中寒論辯證廣注,調胃承氣湯方,4,2,傷寒
CH_B2EB248E3_009,BOOK_B2EB248E3,中寒論辯證廣注,四逆湯方,4,12,傷寒
CH_B2EB248E3_010,BOOK_B2EB248E3,中寒論辯證廣注,乾薑附子湯方,4,5,傷寒
CH_B2EB248E3_011,BOOK_B2EB248E3,中寒論辯證廣注,芍藥甘草附子湯方,4,6,傷寒
CH_B2EB248E3_012,BOOK_B2EB248E3,中寒論辯證廣注,茯苓四逆湯方,4,8,傷寒
CH_B2EB248E3_013,BOOK_B2EB248E3,中寒論辯證廣注,真武湯方,4,20,傷寒
CH_B2EB248E3_014,BOOK_B2EB248E3,中寒論辯證廣注,桂枝附子湯方,4,5,傷寒
CH_B2EB248E3_015,BOOK_B2EB248E3,中寒論辯證廣注,桂枝附子去桂加白朮湯方,4,3,傷寒
CH_B2EB248E3_016,BOOK_B2EB248E3,中寒論辯證廣注,甘草附子湯方,4,15,傷寒
CH_B2EB248E3_017,BOOK_B2EB248E3,中寒論辯證廣注,吳茱萸湯方,4,14,傷寒
CH_B2EB248E3_018,BOOK_B2EB248E3,中寒論辯證廣注,辯太陰少陰厥陰病中寒脈證並治法,3,40,傷寒
CH_B2EB248E3_019,BOOK_B2EB248E3,中寒論辯證廣注,麻黃附子細辛湯方,4,8,傷寒
CH_B2EB248E3_020,BOOK_B2EB248E3,中寒論辯證廣注,麻黃附子甘草湯方,4,9,傷寒
CH_B2EB248E3_021,BOOK_B2EB248E3,中寒論辯證廣注,附子湯方,4,13,傷寒
CH_B2EB248E3_022,BOOK_B2EB248E3,中寒論辯證廣注,桃花湯方,4,15,傷寒
CH_B2EB248E3_023,BOOK_B2EB248E3,中寒論辯證廣注,吳茱萸湯方,4,7,傷寒
CH_B2EB248E3_024,BOOK_B2EB248E3,中寒論辯證廣注,白通湯方,4,13,傷寒
CH_B2EB248E3_025,BOOK_B2EB248E3,中寒論辯證廣注,白通加豬膽汁湯方,4,10,傷寒
CH_B2EB248E3_026,BOOK_B2EB248E3,中寒論辯證廣注,真武湯方,4,12,傷寒
CH_B2EB248E3_027,BOOK_B2EB248E3,中寒論辯證廣注,通脈四逆湯方,4,15,傷寒
CH_B2EB248E3_028,BOOK_B2EB248E3,中寒論辯證廣注,四逆湯方,4,32,傷寒
CH_B2EB248E3_029,BOOK_B2EB248E3,中寒論辯證廣注,烏梅丸方,4,31,傷寒
CH_B2EB248E3_030,BOOK_B2EB248E3,中寒論辯證廣注,當歸四逆湯方,4,37,傷寒
CH_B2EB248E3_031,BOOK_B2EB248E3,中寒論辯證廣注,附後賢治中寒方論變法,3,11,傷寒
CH_B2EB248E3_032,BOOK_B2EB248E3,中寒論辯證廣注,（仲景）理中丸方,4,14,傷寒
CH_B2EB248E3_033,BOOK_B2EB248E3,中寒論辯證廣注,（活人）枳實理中丸方,4,6,傷寒
CH_B2EB248E3_034,BOOK_B2EB248E3,中寒論辯證廣注,五積散方,4,8,傷寒
CH_B2EB248E3_035,BOOK_B2EB248E3,中寒論辯證廣注,海藏五積散論,4,2,傷寒
CH_B2EB248E3_036,BOOK_B2EB248E3,中寒論辯證廣注,（新增）減味五積散方,4,22,傷寒
CH_B2EB248E3_037,BOOK_B2EB248E3,中寒論辯證廣注,始得陰毒候,4,8,傷寒
CH_B2EB248E3_038,BOOK_B2EB248E3,中寒論辯證廣注,（略例）正元散方,4,5,傷寒
CH_B2EB248E3_039,BOOK_B2EB248E3,中寒論辯證廣注,退陰散方,4,5,傷寒
CH_B2EB248E3_040,BOOK_B2EB248E3,中寒論辯證廣注,五勝散方,4,4,傷寒
CH_B2EB248E3_041,BOOK_B2EB248E3,中寒論辯證廣注,（局方）來復丹方,4,8,傷寒
CH_B2EB248E3_042,BOOK_B2EB248E3,中寒論辯證廣注,度瘴散方,4,3,傷寒
CH_B2EB248E3_043,BOOK_B2EB248E3,中寒論辯證廣注,神丹丸方,4,13,傷寒
CH_B2EB248E3_044,BOOK_B2EB248E3,中寒論辯證廣注,（活人）火焰散方,4,7,傷寒
CH_B2EB248E3_045,BOOK_B2EB248E3,中寒論辯證廣注,丹砂丸方,4,1,傷寒
CH_B2EB248E3_046,BOOK_B2EB248E3,中寒論辯證廣注,韓祗和溫中例,4,6,傷寒
CH_B2EB248E3_047,BOOK_B2EB248E3,中寒論辯證廣注,（指微）溫中湯方,4,2,傷寒
CH_B2EB248E3_048,BOOK_B2EB248E3,中寒論辯證廣注,橘皮湯方,4,3,傷寒
CH_B2EB248E3_049,BOOK_B2EB248E3,中寒論辯證廣注,七物理中丸方,4,6,傷寒
CH_B2EB248E3_050,BOOK_B2EB248E3,中寒論辯證廣注,（略例）二苓湯方,4,4,傷寒
CH_B2EB248E3_051,BOOK_B2EB248E3,中寒論辯證廣注,灰包熨法,4,4,傷寒
CH_B2EB248E3_052,BOOK_B2EB248E3,中寒論辯證廣注,（元戎）桃花丸方,4,3,傷寒
CH_B2EB248E3_053,BOOK_B2EB248E3,中寒論辯證廣注,王朝奉辯陰陽證,4,6,傷寒
CH_B2EB248E3_054,BOOK_B2EB248E3,中寒論辯證廣注,王朝奉辯厥陰例,4,7,傷寒
CH_B2EB248E3_055,BOOK_B2EB248E3,中寒論辯證廣注,（元戎）調胃散方,4,4,傷寒
CH_B2EB248E3_056,BOOK_B2EB248E3,中寒論辯證廣注,又治傷寒將死者方,4,3,傷寒
CH_B2EB248E3_057,BOOK_B2EB248E3,中寒論辯證廣注,（局方）大已寒丸方,4,9,傷寒
CH_B2EB248E3_058,BOOK_B2EB248E3,中寒論辯證廣注,（活人）正陽散方,4,4,傷寒
CH_B2EB248E3_059,BOOK_B2EB248E3,中寒論辯證廣注,回陽丹方,4,12,傷寒
CH_B2EB248E3_060,BOOK_B2EB248E3,中寒論辯證廣注,（醫學發明）補中益氣湯方,4,9,傷寒
CH_B2EB248E3_061,BOOK_B2EB248E3,中寒論辯證廣注,（要訣類方）蘇合丸方,4,8,傷寒
CH_B2EB248E3_062,BOOK_B2EB248E3,中寒論辯證廣注,（蘊要）藿香正氣散,4,15,傷寒
CH_B2EB248E3_063,BOOK_B2EB248E3,中寒論辯證廣注,（蘊要）大建中湯方,4,8,傷寒
CH_B2EB248E3_064,BOOK_B2EB248E3,中寒論辯證廣注,（蘊要）人參三白湯方,4,10,傷寒
CH_B2EB248E3_065,BOOK_B2EB248E3,中寒論辯證廣注,（蘊要）茵陳橘皮湯方,4,3,傷寒
CH_B2EB248E3_066,BOOK_B2EB248E3,中寒論辯證廣注,茵陳四逆湯方,4,3,傷寒
